Unnamed: 0,LNR,RDR,LSR,GBR,RFR
Lap Score,0.09877551,0.103673469,0.128163265,0.093877551,0.08244898
Mutual Corre,0.206530612,0.208163265,0.186938776,0.031836735,0.036734694
MICI,,,,,
MDCM,0.010612245,0.012244898,0.00244898,0.128163265,0.00244898
Linear Depend,0.16244898,0.167346939,0.211428571,0.092244898,0.232653061
MPMR,0.144489796,0.146122449,0.216326531,0.142857143,0.309387755
MCFS,0.168979592,0.164081633,0.142857143,0.004081633,0.025306122
RSPCA,0.173877551,0.17877551,0.229387755,0.182040816,0.217959184
ANOVA F,0.023673469,0.025306122,0.043265306,0.231020408,0.345306122
ReliefF,0.00244898,0.004081633,0.064489796,0.213061224,0.320816327
Info Gain,0.004081633,0.00244898,0.031836735,0.147755102,0.252244898
MRMR,0.066122449,0.074285714,0.075918367,0.302857143,0.39755102
ERFS,0.758367347,0.750204082,0.608163265,0.07755102,0.126530612
Variance,0.191836735,0.193469388,0.053061224,0.146122449,0.190204082
Sim Entropy,0.103673469,0.124897959,0.232653061,0.053061224,0.041632653
Rep Entropy,0.031836735,0.026938776,0.232653061,0.14122449,0.139591837
SPECtrum,0.185019179,0.201392558,0.294720817,0.191568531,0.306182182
Lap Score,0.057959184,0.049795918,0.072653061,0.137959184,0.035102041
Mutual Corre,0.139591837,0.160816327,0.160816327,0.023673469,0.043265306
MICI,,,,,
MDCM,0.069387755,0.106938776,0.193469388,0.160816327,0.191836735
Linear Depend,0.129795918,0.154285714,0.172244898,0.031836735,0.248979592
MPMR,0.100408163,0.137959184,0.116734694,0.074285714,0.170612245
MCFS,0.057959184,0.062857143,0.020408163,0.030204082,0.012244898
RSPCA,0.00244898,0.008979592,0.248979592,0.102040816,0.152653061
ANOVA F,0.366530612,0.377959184,0.193469388,0.239183673,0.315918367
ReliefF,0.353469388,0.38122449,0.213061224,0.229387755,0.342040816
Info Gain,0.306122449,0.324081633,0.188571429,0.211428571,0.288163265
MRMR,0.469387755,0.490612245,0.182040816,0.266938776,0.395918367
ERFS,0.46122449,0.443265306,0.595102041,0.415510204,0.443265306
