,LNR,RDR,LSR,GBR,RFR
ANOVA F,0.206530612,0.206530612,0.209795918,0.00244898,0.000816327
ReliefF,0.064489796,0.064489796,0.06122449,0.005714286,0.028571429
Info Gain,0.213061224,0.206530612,0.216326531,0.04,0.04
MRMR,0.240816327,0.23755102,0.244081633,0.00244898,0.008979592
ERFS,0.159183673,0.17877551,0.16244898,0.124897959,0.320816327
Variance,0.155918367,0.131428571,0.164081633,0.071020408,0.010612245
Sim Entropy,0.043265306,0.012244898,0.044897959,0.074285714,0.007346939
Rep Entropy,0.059591837,0.038367347,0.057959184,0.090612245,0.075918367
SPECtrum,0.013877551,0.017142857,0.012244898,0.074285714,0.062857143
Lap Score,0.01877551,0.030204082,0.020408163,0.085714286,0.204897959
Mutual Corre,0.118367347,0.097142857,0.12,0.06122449,0.043265306
MICI,0.154285714,0.123265306,0.16244898,0.124897959,0.035102041
MDCM,0.013877551,0.044897959,0.005714286,0.111836735,0.090612245
Linear Depend,0.033469388,0.064489796,0.035102041,0.115102041,0.084081633
MPMR,0.036734694,0.008979592,0.044897959,0.155918367,0.151020408
MCFS,0.118367347,0.123265306,0.123265306,0.00244898,0.072653061
RSPCA,0.151020408,0.155918367,0.155918367,0.137959184,0.057959184
ANOVA F,0.08244898,0.100408163,0.080816327,0.00244898,0.00244898
ReliefF,0.057959184,0.046530612,0.062857143,0.054693878,0.066122449
Info Gain,0.093877551,0.09877551,0.095510204,0.049795918,0.041632653
MRMR,0.134693878,0.149387755,0.133061224,0.04,0.008979592
ERFS,0.198367347,0.180408163,0.2,0.056326531,0.069387755
Variance,0.056326531,0.071020408,0.057959184,0.090612245,0.201632653
Sim Entropy,0.131428571,0.133061224,0.129795918,0.057959184,0.064489796
Rep Entropy,0.110204082,0.108571429,0.111836735,0.118367347,0.137959184
SPECtrum,0.049795918,0.041632653,0.051428571,0.041632653,0.084081633
Lap Score,0.012244898,0.04,0.013877551,0.043265306,0.084081633
Mutual Corre,0.149387755,0.134693878,0.147755102,0.085714286,0.08244898
MICI,0.144489796,0.139591837,0.146122449,0.103673469,0.185306122
MDCM,0.049795918,0.038367347,0.051428571,0.084081633,0.084081633
Linear Depend,0.004081633,0.000816327,0.008979592,0.080816327,0.100408163
MPMR,0.08244898,0.084081633,0.084081633,0.080816327,0.129795918
MCFS,0.108571429,0.142857143,0.113469388,0.16244898,0.074285714
RSPCA,0.222857143,0.234285714,0.214693878,0.051428571,0.048163265
ANOVA F,0.043265306,0.025306122,0.044897959,0.110204082,0.102040816
ReliefF,0.129795918,0.108571429,0.128163265,0.049795918,0.044897959
Info Gain,0.00244898,0.007346939,0.004081633,0.053061224,0.064489796
MRMR,0.012244898,0.033469388,0.010612245,0.087346939,0.134693878
ERFS,0.196734694,0.211428571,0.201632653,0.152653061,0.064489796
Variance,0.106938776,0.087346939,0.121632653,0.182040816,0.144489796
Sim Entropy,0.074285714,0.074285714,0.059591837,0.111836735,0.080816327
Rep Entropy,0.155918367,0.146122449,0.170612245,0.071020408,0.075918367
SPECtrum,0.172244898,0.136326531,0.183673469,0.080816327,0.020408163
Lap Score,0.075918367,0.046530612,0.100408163,0.036734694,0.172244898
Mutual Corre,0.07755102,0.067755102,0.095510204,0.097142857,0.04
MICI,0.116734694,0.100408163,0.131428571,0.100408163,0.131428571
MDCM,0.196734694,0.177142857,0.211428571,0.059591837,0.067755102
Linear Depend,0.131428571,0.095510204,0.136326531,0.062857143,0.093877551
MPMR,0.180408163,0.173877551,0.188571429,0.00244898,0.035102041
MCFS,0.01877551,0.035102041,0.004081633,0.085714286,0.013877551
RSPCA,0.128163265,0.177142857,0.126530612,0.100408163,0.028571429
ANOVA F,0.072653061,0.092244898,0.071020408,0.000816327,0.072653061
ReliefF,0.075918367,0.069387755,0.074285714,0.06122449,0.085714286
Info Gain,0.147755102,0.154285714,0.146122449,0.139591837,0.088979592
MRMR,0.087346939,0.106938776,0.085714286,0.005714286,0.057959184
ERFS,0.146122449,0.182040816,0.151020408,0.048163265,0.028571429
